"","umpd_case_number","type","type_detail","disposition","date_incident","arrest_number","notes","race","sex","arrest_date"
"234","2023-00018036","animal complaint","NA","cbe","2023-02-23","NA","NA","NA","NA","NA"
"235","2023-00018427","emergency petition","NA","cbe","2023-02-24","NA","NA","NA","NA","NA"
"236","2023-00018455","emergency petition","NA","cbe","2023-02-24","NA","NA","NA","NA","NA"
"237","2023-00018458","other incident","NA","active/pending","2023-01-11","NA","NA","NA","NA","NA"
"238","2023-00018480","accident - departmental","NA","cbe","2023-02-24","NA","NA","NA","NA","NA"
"239","2023-00018616","cds violation","NA","active/pending","2023-02-24","NA","NA","NA","NA","NA"
"240","2023-00018633","traffic arrest","NA","arrest","2023-02-24","23698","(Driving, Attempting to drive) motor veh. on hwy. w/o req. license and authorization; False Statement to Officer","white","female","2023-02-25"
"241","2023-00018664","vandalism","NA","arrest","2023-02-25","23709","Malicious Destruction Property/Value -$1000","asian","male","2023-02-28"
"242","2023-00018823","hate bias incident","NA","cbe","2023-02-24","NA","NA","NA","NA","NA"
"243","2023-00018826","injured/sick person","NA","cbe","2023-02-25","NA","NA","NA","NA","NA"
"244","2023-00018903","injured/sick person","NA","cbe","2023-02-26","NA","NA","NA","NA","NA"
"245","2023-00018911","assault","NA","active/pending","2023-02-26","NA","NA","NA","NA","NA"
"246","2023-00018912","dwi/dui","NA","arrest","2023-02-26","23697","(Driving, Attempting to drive) veh. while impaired by alcohol while transporting a minor; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se; Person driving motor veh. on (hwy., public use property) on suspended lic. and privilege","white","male","2023-02-26"
"247","2023-00018914","injured/sick person","NA","cbe","2023-02-26","NA","NA","NA","NA","NA"
"248","2023-00018915","dwi/dui","NA","arrest","2023-02-26","23696","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","white","male","2023-02-26"
"249","2023-00018947","stolen motor vehicle","NA","investigation pending","2023-02-25","NA","NA","NA","NA","NA"
"250","2023-00019013","assault","NA","cbe","2023-02-26","NA","NA","NA","NA","NA"
"251","2023-00019017","extortion","NA","investigation pending","2023-02-24","NA","NA","NA","NA","NA"
"252","2023-00019026","suspicious activity","NA","active/pending","2023-02-26","NA","NA","NA","NA","NA"
"253","2023-00019125","dwi/dui","NA","arrest","2023-02-27","23694","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se","white","male","2023-02-27"
"254","2023-00019242","emergency petition","NA","cbe","2023-02-27","NA","NA","NA","NA","NA"
"255","2023-00019340","title ix incident non criminal","NA","cbe","2023-02-24","NA","NA","NA","NA","NA"
"256","2023-00019349","theft","NA","arrest","2023-02-26","23807","THEFT: $100 TO UNDER $1,500-Bicycle","black","male","2023-06-02"
"257","2023-00019404","cds violation","NA","arrest","2023-02-27","23700","CDS:Possession Cannabis-Personal Amount","white","male","2023-02-27"
"258","2023-00019439","check on the  welfare","NA","cbe","2023-02-28","NA","NA","NA","NA","NA"
"259","2023-00019476","emergency petition","NA","cbe","2023-02-28","NA","NA","NA","NA","NA"
"260","2023-00019580","theft","NA","arrest","2023-02-28","23759, 23760","THEFT: $100 TO UNDER $1,500-Shoplifting","white","male","2023-04-20"
"261","2023-00019588","injured/sick person","NA","cbe","2023-02-28","NA","NA","NA","NA","NA"
"262","2023-00019607","title ix incident non criminal","NA","cbe","2023-02-24","NA","NA","NA","NA","NA"
"263","2023-00019678","cds violation","NA","arrest","2023-02-28","23702","CDS:Possession Cannabis-Civil Amount","black","male","2023-02-28"
"264","2023-00019705","theft, hornbake, hornbake library at 4130  campus  dr","NA","investigation pending, hornbake, hornbake library at 4130  campus  dr","2023-02-28, NA","NA","NA","NA","NA","NA"
"265","2023-00019900","injured/sick person","NA","cbe","2023-03-01","NA","NA","NA","NA","NA"
"266","2023-00019953","injured/sick person","NA","cbe","2023-03-01","NA","NA","NA","NA","NA"
"267","2023-00019958","suspicious person/auto","NA","cbe","2023-03-01","NA","NA","NA","NA","NA"
"268","2023-00019960","other incident","NA","cbe","2023-02-28","NA","NA","NA","NA","NA"
"269","2023-00020002","other incident","NA","active/pending","2023-03-01","NA","NA","NA","NA","NA"
"270","2023-00020070","warrant/summons service","NA","arrest","2023-03-01","NA","NA","NA","NA","NA"
"271","2023-00020294","suspicious activity","NA","cbe","2023-03-01","NA","NA","NA","NA","NA"
"272","2023-00020301","emergency petition","NA","cbe","2023-03-02","NA","NA","NA","NA","NA"
"273","2023-00020318","threat assessment","NA","active/pending","2023-03-02","NA","NA","NA","NA","NA"
"274","2023-00020425","dwi/dui","NA","arrest","2023-03-03","23705","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se; Driver fail to stop at steady circular red signal","asian","male","2023-03-03"
"275","2023-00020622","emergency petition","NA","cbe","2023-03-03","NA","NA","NA","NA","NA"
"276","2023-00020684","extortion","NA","investigation pending","2023-03-03","NA","NA","NA","NA","NA"
"277","2023-00020759","vandalism","NA","investigation pending","2023-03-03","NA","NA","NA","NA","NA"
"278","2023-00020767","hate bias incident","NA","active/pending","2023-03-03","NA","NA","NA","NA","NA"
"279","2023-00020772","dwi/dui","NA","arrest","2023-03-03","23703","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; Displaying expired registration plates(s) issued by any state; Driver failure to exercise due care to avoid pedestrian collison; Driver failure to stop at stop sign line; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","black","male","2023-03-03"
"280","2023-00020788","pedestrian struck","NA","active/pending","2023-03-03","NA","NA","NA","NA","NA"
"281","2023-00020810","assist other agency","other","cbe","2023-03-04","NA","NA","NA","NA","NA"
"282","2023-00020812","assault","NA","arrest","2023-03-04","23745","ASSAULT-SEC DEGREE-Simple, Not Aggravated","white","male","2023-04-07"
"283","2023-00021047","vandalism","NA","active/pending","2023-03-04","NA","NA","NA","NA","NA"
"284","2023-00021065","alcohol violation","NA","arrest","2023-03-04","23706","Alc Bev-Furnishing  Alcohol to Persons under 21","","","2023-03-04"
"285","2023-00021100","hate bias incident","NA","unfounded","2023-03-04","NA","NA","NA","NA","NA"
"286","2023-00021102","dwi/dui","NA","arrest","2023-03-05","23704","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol","black","male","2023-03-05"
"287","2023-00021120","assist other agency","other","cbe","2023-03-05","NA","NA","NA","NA","NA"
"288","2023-00021331","hate bias incident","NA","active/pending","2023-03-05","NA","NA","NA","NA","NA"
"289","2023-00021334","theft","NA","investigation pending","2023-03-05","NA","NA","NA","NA","NA"
"290","2023-00021357","accident - departmental","NA","cbe","2023-03-05","NA","NA","NA","NA","NA"
"291","2023-00021433","dwi/dui","NA","arrest","2023-03-06","23713","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol","white","male","2023-03-06"
"292","2023-00021514","theft","NA","investigation pending","2023-02-24","NA","NA","NA","NA","NA"
"293","2023-00021519","other incident","NA","cbe","2023-03-06","NA","NA","NA","NA","NA"
"294","2023-00021571","burglary","NA","cbe","2023-03-04","NA","NA","NA","NA","NA"
"295","2023-00021584","theft","NA","arrest","2023-03-06","23836","School Trespassing On Ground, THEFT: $100 TO UNDER $1,500-Bicycle, Unauth Removal of Property","black","male","2023-07-12"
"296","2023-00021606","injured/sick person","NA","cbe","2023-03-06","NA","NA","NA","NA","NA"
"297","2023-00021641","check on the  welfare","NA","cbe","2023-03-06","NA","NA","NA","NA","NA"
"298","2023-00021676","injured/sick person","NA","cbe","2023-03-06","NA","NA","NA","NA","NA"
"299","2023-00021692","theft","NA","investigation pending","2023-03-06","NA","NA","NA","NA","NA"
"300","2023-00021703","assist other agency","theft","cbe","2023-03-07","NA","NA","NA","NA","NA"
"301","2023-00021837","vandalism","NA","investigation pending","2023-03-06","NA","NA","NA","NA","NA"
"302","2023-00021883","injured/sick person","NA","cbe","2023-03-07","NA","NA","NA","NA","NA"
"303","2023-00021889","injured/sick person","NA","cbe","2023-03-07","NA","NA","NA","NA","NA"
"304","2023-00021951","cds violation","NA","cbe","2023-03-07","NA","NA","NA","NA","NA"
"305","2023-00021988","suspicious activity","NA","cbe","2023-03-07","NA","NA","NA","NA","NA"
"306","2023-00022039","disorderly conduct","NA","arrest","2023-03-07","23710","Urinating or Defecating in Public","white","male","2023-03-07"
"307","2023-00022104","emergency petition","NA","cbe","2023-03-08","NA","NA","NA","NA","NA"
"308","2023-00022117","extortion (title ix related)","NA","active/pending","2023-02-08","NA","NA","NA","NA","NA"
"309","2023-00022173","vandalism","NA","cbe","2023-03-08","NA","NA","NA","NA","NA"
"310","2023-00022174","injured/sick person","NA","cbe","2023-03-08","NA","NA","NA","NA","NA"
"311","2023-00022231","assist other agency","other","cbe","2023-03-08","NA","NA","NA","NA","NA"
"312","2023-00022244","threat assessment","NA","active/pending","2023-02-28","NA","NA","NA","NA","NA"
"313","2023-00022337","extortion","NA","cbe","2023-03-08","NA","NA","NA","NA","NA"
"314","2023-00022399","injured/sick person","NA","cbe","2023-03-08","NA","NA","NA","NA","NA"
"315","2023-00022450","suspicious activity","NA","cbe","2023-02-16","NA","NA","NA","NA","NA"
"316","2023-00022467","theft","NA","investigation pending","2023-03-08","NA","NA","NA","NA","NA"
"317","2023-00022492","theft","NA","investigation pending","2023-02-19","NA","NA","NA","NA","NA"
"318","2023-00022537","injured/sick person","NA","cbe","2023-03-09","NA","NA","NA","NA","NA"
"319","2023-00022542","found/recovered property","NA","cbe","2023-03-09","NA","NA","NA","NA","NA"
"320","2023-00022548","alarm","NA","cbe","2023-03-09","NA","NA","NA","NA","NA"
"321","2023-00022609","theft","NA","investigation pending","2023-03-09","NA","NA","NA","NA","NA"
"322","2023-00022618","alcohol violation","NA","arrest","2023-03-10","23707","Consuming/Possessing Open Alcoholic Beverage in Public","white","female","2023-03-10"
"323","2023-00022625","assault","NA","arrest","2023-03-10","23725","ASSAULT-SEC DEGREE-Simple, Not Aggravated; Disorderly Conduct; Resist/Interfere with Arrest","white","male","2023-03-10"
"324","2023-00022627","assist other agency","death investigation","cbe","2023-03-10","NA","NA","NA","NA","NA"
"325","2023-00022772","theft","NA","investigation pending","2023-03-09","NA","NA","NA","NA","NA"
"326","2023-00022792","emergency petition","NA","cbe","2023-03-10","NA","NA","NA","NA","NA"
"327","2023-00022799","other incident","NA","cbe","2023-03-09","NA","NA","NA","NA","NA"
"328","2023-00022903","injured/sick person","NA","cbe","2023-03-10","NA","NA","NA","NA","NA"
"329","2023-00022908","injured/sick person","NA","cbe","2023-03-10","NA","NA","NA","NA","NA"
"330","2023-00022909","injured/sick person","NA","cbe","2023-03-10","NA","NA","NA","NA","NA"
"331","2023-00022934","injured/sick person","NA","cbe","2023-03-11","NA","NA","NA","NA","NA"
"332","2023-00022935","theft","NA","investigation pending","2023-03-10","NA","NA","NA","NA","NA"
"333","2023-00022945","other incident","NA","cbe","2023-03-11","NA","NA","NA","NA","NA"
"334","2023-00022946","theft","NA","investigation pending","2022-12-12","NA","NA","NA","NA","NA"
"335","2023-00022947","injured/sick person","NA","cbe","2023-03-11","NA","NA","NA","NA","NA"
"336","2023-00022965","dwi/dui","NA","arrest","2023-03-11","23711","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol","white","male","2023-03-11"
"337","2023-00023008","injured/sick person","NA","cbe","2023-03-11","NA","NA","NA","NA","NA"
"338","2023-00023053","theft","NA","investigation pending","2023-03-09","NA","NA","NA","NA","NA"
"339","2023-00023109","vandalism","NA","investigation pending","2023-03-11","NA","NA","NA","NA","NA"
"340","2023-00023127","burglary","NA","investigation pending","2023-03-11","NA","NA","NA","NA","NA"
"341","2023-00023156","injured/sick person","NA","cbe","2023-03-11","NA","NA","NA","NA","NA"
"342","2023-00023167","theft","NA","active/pending","2023-03-05","NA","NA","NA","NA","NA"
"343","2023-00023191","injured/sick person","NA","cbe","2023-03-11","NA","NA","NA","NA","NA"
"344","2023-00023221","resisting arrest","NA","arrest","2023-03-12","23719","Disorderly Conduct; Resist/Interfere with Arrest; Rogue and Vagabond","","","2023-03-12"
"345","2023-00023275","damage to state property","NA","cbe","2023-03-12","NA","NA","NA","NA","NA"
"346","2023-00023384","theft","NA","active/pending","2023-03-12","NA","NA","NA","NA","NA"
"347","2023-00023393","animal complaint","NA","active/pending","2023-03-12","NA","NA","NA","NA","NA"
"348","2023-00023426","rape","NA","cbe","2022-10-24","NA","NA","NA","NA","NA"
"349","2023-00023472","assist other agency","robbery","cbe","2023-03-13","NA","NA","NA","NA","NA"
"350","2023-00023512","burglary","NA","active/pending","2023-03-10","NA","NA","NA","NA","NA"
"351","2023-00023634","theft","NA","arrest","2023-03-09","23791","Theft Less Than $100 From Building","","","2023-04-14"
"352","2023-00023667","burglary","NA","arrest","2023-03-11","23794","BURGLARY-FOURTH DEGREE-DWELLING; Malicious Destruction Property/Value -$1000; Theft Less Than $100 From Building","black","male","2023-05-02"
"353","2023-00023671","assist other agency","other","cbe","2023-03-13","NA","NA","NA","NA","NA"
